French,English
histoire,history
chercher,search
pensais,thought
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
ville,city
bébé,baby
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
trouve,find
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
